row_index,Topic1,Topic2,Topic3,Topic4,Topic5,Topic6,Topic7,Topic8,Topic9,Topic10,Topic11,Topic12,Topic13,Topic14,Topic15,Topic16,Topic17,Topic18,Topic19,Topic20,Topic21,Topic22,Topic23,Topic24,Topic25
1,0.0019486687125230633,0.6080940439205371,0.0012722668056694513,0.05492443241470336,0.0021963290035127746,0.01704758641535116,0.0041302904194723085,3.7663585870799225e-4,0.00210576015416033,0.0029086967153225773,0.009540987229320978,0.0018344296608482791,0.003751740632993843,0.0012100447630446261,0.17110316478265392,0.001490713188165392,6.36994899614741e-4,0.0037613581699470653,0.020591754655556137,1.7238330524983368e-4,0.011886069658946617,0.06480098197659116,0.0013528279022157095,0.011747711928724737,0.0011141268261667737
2,1.5093173443256016e-4,0.9862462900295692,6.167251503596912e-5,0.0022587210322956046,7.655150324168804e-4,3.220571368204592e-4,5.079314130404159e-4,2.3104903198639273e-5,2.9509938422460716e-4,1.3061522323849976e-4,6.52649123222636e-4,6.219745125225747e-5,3.295074392005814e-4,7.979254797842557e-5,0.0033020234177509327,3.348755987520966e-5,1.6484749317508885e-4,1.8586114460976627e-4,3.355965189392267e-4,1.7826918069683557e-5,5.014135030435985e-4,0.002797418289398206,6.132646076215193e-5,4.007186446643695e-4,3.133950837849035e-4
3,1.5347548558799443e-4,0.9852186627420594,6.247945176088748e-5,0.0025454016789439255,7.71877969383259e-4,3.3026095577766385e-4,9.384925662299939e-4,2.585414433324632e-5,3.8045266648532096e-4,1.2277594742131438e-4,5.552895789933043e-4,6.13853819256041e-5,3.4952526550072855e-4,8.75145160162633e-5,0.0032902205413083896,3.922918609591789e-5,1.7904260490042562e-4,2.027471558187374e-4,3.6439395895233954e-4,2.318612610240058e-5,6.049880748905731e-4,0.002822528108942344,7.178753556996715e-5,4.020105968453327e-4,3.964177601546833e-4
4,0.04734576497236209,0.0018071916493066689,0.018996880729646743,0.0019312919602259985,0.0032596887113304864,0.001337673854381205,0.008880653230418492,0.03529872739279346,0.004354099719173604,0.029883859092824802,0.0022771182088258124,0.008899572843768926,0.005749286281585329,0.7395098020597254,0.0064604930056716674,0.010915780263852095,0.006690330454049409,0.023568763656422444,0.002686528269192452,0.004701382218330581,0.006900132580248173,0.0013973638768149715,0.001167773385585803,0.0029376901957642305,0.023042151387699238
5,0.0010797118566120308,0.005061947781267197,0.0018174173546079097,0.12462483800198777,1.9418607764655767e-4,0.001901458550113199,0.002442582237183613,0.005345136851151652,0.0022971768615195273,0.03246274740683164,0.08622573427997868,0.041417862960492546,7.402245284631318e-4,0.2727305557937967,0.08662094933883842,0.06614368931789148,2.0139479440041538e-4,0.012383778934464003,0.028637300864946588,3.116063351566802e-4,0.12047412818574138,0.03743160901017874,0.0017823268281099353,0.0665781066529946,0.0010935291956253837
6,2.566446983287673e-4,0.03757736934375242,7.69301706314936e-4,0.43219650838566054,7.001444811384084e-5,6.199208279969687e-4,0.001232951288277669,9.418922221121171e-5,5.544418802211226e-4,1.778598371602165e-4,0.0011781844269552028,0.001098287263240533,9.258789316741462e-4,1.741295809632752e-4,0.008232698773886776,3.6953194751125406e-4,1.7700669774180135e-4,6.09762653384135e-4,0.5098097087020403,7.508463700317845e-5,9.340021847793712e-4,0.0021013065348014447,8.665387904665065e-5,5.945971082642814e-4,8.396504066919266e-5
7,0.002212230818890051,0.7662309514150941,0.002307706769580169,0.027948831085451747,0.002164386813904049,0.002914849966115862,0.0027631760164027767,0.0010878388584531,0.002041601770327407,0.00624067042271688,0.01432615874421496,0.0026562873059122758,0.004156194036307387,0.0022339640558524027,0.026752574612250436,0.0013401875956786998,0.0011940052945746634,0.0023673271961752573,0.09909478713505396,3.5822733736291703e-4,0.006550022053631498,0.017632782345621226,6.734524897747348e-4,0.003503474124088404,0.00124831173656538
8,8.71619147313054e-4,0.740809548785878,3.687235784429612e-4,0.005789809992363145,0.001533271666118543,0.004273242387062426,0.0013548409728619073,8.829323660011221e-5,3.9072672994945915e-4,9.828032050522956e-4,8.645548202878081e-4,3.248244770625741e-4,0.0010923668919714158,5.534872935435781e-4,0.22506961130567996,1.913699742341543e-4,4.5020065444520077e-4,0.0011776856764331596,0.002538048710525825,4.974430885584896e-5,0.0013618935454084498,0.006131110596093597,5.070376926872319e-4,0.0024530206855818324,7.721636655477733e-4
9,0.0023207227090180373,0.0013279631110925223,0.04361252973491747,0.0067654595482602815,0.0013341499493402446,0.003039080848978115,0.19962946053966288,0.02598031517943695,0.0689155497201445,0.08699853090364898,0.001210640956100799,0.004205276039884339,0.007582641510177698,0.06252575371952829,0.014653761735435946,0.09955055624651772,8.106989620993367e-4,0.00378421427556969,0.10267128792464364,0.009266061698543345,0.231689726478398,0.006192694812490998,0.004849302493755722,0.007933972407245554,0.0031496484951088794
10,0.002832079518343387,1.5950579175235958e-4,0.006766734418960908,0.01293745525501348,7.925948158326732e-4,0.004739143402015262,0.4429796755140457,0.003358608673766242,0.00787296448235187,0.0014811933755366307,1.1471828170174373e-4,0.002665013172595456,0.005430939064960725,0.07828901716113698,0.0614011290273001,0.10587394813329801,0.012763491055769962,0.13709608481063873,0.04844526543515898,0.016334998360399994,0.03377982399750765,0.0015033490081617824,0.0035702166856724886,0.002538937630725504,0.006273112927353546
