year,topic,prevalence,topic_num,topic_label
1914,Topic1,0.01213908477234534,1,Biblical Stories
1914,Topic2,0.18905720468377574,2,Advertisements
1914,Topic3,0.024082469976106934,3,World War I News
1914,Topic4,0.1022609666433902,4,"Gospel Doctrine & Spiritual
Kingdom"
1914,Topic5,0.024457786353907114,5,Serialized Fiction & Stories
1914,Topic6,0.11256762523326871,6,Recipes & Cooking Instruction
1914,Topic7,0.3513180052082597,7,"Household Management &
Budgeting"
1914,Topic8,0.13245413217173968,8,"Stake & Ward Relief Society
Reports"
1914,Topic9,0.02844827033619762,9,Relief Society Conferences
1914,Topic10,0.023214454621008965,10,Pioneer Heritage
1915,Topic1,0.10806021595586002,1,Biblical Stories
1915,Topic2,0.05196418995218429,2,Advertisements
1915,Topic3,0.06916479523792432,3,World War I News
1915,Topic4,0.11880811125773144,4,"Gospel Doctrine & Spiritual
Kingdom"
1915,Topic5,0.07011821752601208,5,Serialized Fiction & Stories
1915,Topic6,0.12155512363435311,6,Recipes & Cooking Instruction
1915,Topic7,0.14755144345475987,7,"Household Management &
Budgeting"
1915,Topic8,0.11695476965969383,8,"Stake & Ward Relief Society
Reports"
1915,Topic9,0.1579476681907303,9,Relief Society Conferences
1915,Topic10,0.037875465130750754,10,Pioneer Heritage
1916,Topic1,0.086458845058996,1,Biblical Stories
1916,Topic2,0.054030938034219336,2,Advertisements
1916,Topic3,0.05969346002732278,3,World War I News
1916,Topic4,0.10329496120893793,4,"Gospel Doctrine & Spiritual
Kingdom"
1916,Topic5,0.1518347354324779,5,Serialized Fiction & Stories
1916,Topic6,0.07728614068390695,6,Recipes & Cooking Instruction
1916,Topic7,0.15622798503797655,7,"Household Management &
Budgeting"
1916,Topic8,0.08800554670664519,8,"Stake & Ward Relief Society
Reports"
1916,Topic9,0.14442054464239015,9,Relief Society Conferences
1916,Topic10,0.07874684316712718,10,Pioneer Heritage
1917,Topic1,0.038727458212497214,1,Biblical Stories
1917,Topic2,0.04661259120539365,2,Advertisements
1917,Topic3,0.08585028442660543,3,World War I News
1917,Topic4,0.1239236511297357,4,"Gospel Doctrine & Spiritual
Kingdom"
1917,Topic5,0.12437138246558585,5,Serialized Fiction & Stories
1917,Topic6,0.14115741826281678,6,Recipes & Cooking Instruction
1917,Topic7,0.09374771442314611,7,"Household Management &
Budgeting"
1917,Topic8,0.12409489620638456,8,"Stake & Ward Relief Society
Reports"
1917,Topic9,0.14736316318112425,9,Relief Society Conferences
1917,Topic10,0.07415144048671052,10,Pioneer Heritage
1918,Topic1,0.04481756600125519,1,Biblical Stories
1918,Topic2,0.05168403828551943,2,Advertisements
1918,Topic3,0.10254592906567148,3,World War I News
1918,Topic4,0.13718917333072203,4,"Gospel Doctrine & Spiritual
Kingdom"
1918,Topic5,0.1357936790281741,5,Serialized Fiction & Stories
1918,Topic6,0.11380833798555591,6,Recipes & Cooking Instruction
1918,Topic7,0.09164275141971136,7,"Household Management &
Budgeting"
1918,Topic8,0.1328244963503003,8,"Stake & Ward Relief Society
Reports"
1918,Topic9,0.1139400223867262,9,Relief Society Conferences
1918,Topic10,0.075754006146364,10,Pioneer Heritage
1919,Topic1,0.048835916710826516,1,Biblical Stories
1919,Topic2,0.030066704674137596,2,Advertisements
1919,Topic3,0.08745373692138939,3,World War I News
1919,Topic4,0.16431706212104719,4,"Gospel Doctrine & Spiritual
Kingdom"
1919,Topic5,0.13875747514191325,5,Serialized Fiction & Stories
1919,Topic6,0.11172531863796326,6,Recipes & Cooking Instruction
1919,Topic7,0.14701765356573127,7,"Household Management &
Budgeting"
1919,Topic8,0.07509878590694145,8,"Stake & Ward Relief Society
Reports"
1919,Topic9,0.12675400839720502,9,Relief Society Conferences
1919,Topic10,0.06997333792284509,10,Pioneer Heritage
1920,Topic1,0.04227656684016646,1,Biblical Stories
1920,Topic2,0.059847686700419664,2,Advertisements
1920,Topic3,0.09442701971441869,3,World War I News
1920,Topic4,0.1641765514573985,4,"Gospel Doctrine & Spiritual
Kingdom"
1920,Topic5,0.14361181003799783,5,Serialized Fiction & Stories
1920,Topic6,0.06378449871250988,6,Recipes & Cooking Instruction
1920,Topic7,0.08793406034829777,7,"Household Management &
Budgeting"
1920,Topic8,0.11125994589686368,8,"Stake & Ward Relief Society
Reports"
1920,Topic9,0.16923338333513332,9,Relief Society Conferences
1920,Topic10,0.0634484769567942,10,Pioneer Heritage
1921,Topic1,0.03264966349143241,1,Biblical Stories
1921,Topic2,0.05718108743749499,2,Advertisements
1921,Topic3,0.09952745211205218,3,World War I News
1921,Topic4,0.18218388639633568,4,"Gospel Doctrine & Spiritual
Kingdom"
1921,Topic5,0.13729701699701574,5,Serialized Fiction & Stories
1921,Topic6,0.010826577806748706,6,Recipes & Cooking Instruction
1921,Topic7,0.1265940873661403,7,"Household Management &
Budgeting"
1921,Topic8,0.12317275310234722,8,"Stake & Ward Relief Society
Reports"
1921,Topic9,0.15237098422294634,9,Relief Society Conferences
1921,Topic10,0.07819649106748647,10,Pioneer Heritage
1922,Topic1,0.0361066799206471,1,Biblical Stories
1922,Topic2,0.07338639605019724,2,Advertisements
1922,Topic3,0.07117031113735148,3,World War I News
1922,Topic4,0.14391924530362316,4,"Gospel Doctrine & Spiritual
Kingdom"
1922,Topic5,0.18697418514367126,5,Serialized Fiction & Stories
1922,Topic6,0.04378958139334489,6,Recipes & Cooking Instruction
1922,Topic7,0.1438413671492911,7,"Household Management &
Budgeting"
1922,Topic8,0.10365806743858627,8,"Stake & Ward Relief Society
Reports"
1922,Topic9,0.14611760691253559,9,Relief Society Conferences
1922,Topic10,0.05103655955075194,10,Pioneer Heritage
1923,Topic1,0.03880672464154354,1,Biblical Stories
1923,Topic2,0.05970289932856108,2,Advertisements
1923,Topic3,0.07919494459422494,3,World War I News
1923,Topic4,0.13813758258975586,4,"Gospel Doctrine & Spiritual
Kingdom"
1923,Topic5,0.15179107183210022,5,Serialized Fiction & Stories
1923,Topic6,0.05688675143127836,6,Recipes & Cooking Instruction
1923,Topic7,0.1760004704994088,7,"Household Management &
Budgeting"
1923,Topic8,0.14438935533683914,8,"Stake & Ward Relief Society
Reports"
1923,Topic9,0.09533601800251389,9,Relief Society Conferences
1923,Topic10,0.05975418174377416,10,Pioneer Heritage
