topic_num,topic_label,mean_prevalence,first_year,last_year,change,pct_change,trend
8,"Garment & Product
Advertisements",0.06050001926104916,0.20194640931288277,0.06924416615904111,-0.13270224315384166,-65.71161309842421,Decreasing
15,Serialized Fiction & Stories,0.08195173148889048,0.0038366638452029087,0.10237148227290357,0.09853481842770066,2568.242160461923,Increasing
4,"Women's Suffrage & Political
Rights",0.03404642867501796,0.006198516906577758,0.09695823656837124,0.09075971966179348,1464.2166994088675,Increasing
5,Biblical Stories,0.08505715800532644,0.006571547630035975,0.09096411932661806,0.08439257169658208,1284.2115198382894,Increasing
7,"Musical Programs &
Performances",0.039992750529861086,0.11684107574554786,0.033163721154213524,-0.08367735459133434,-71.61638495486275,Decreasing
16,"Nursing Training & Hospital
Work",0.041334344038670694,0.1380304705093363,0.05627226553053492,-0.08175820497880139,-59.23199759959618,Decreasing
18,"Stake & Ward Relief Society
Reports",0.05305375623455569,0.004417605792058282,0.06835011198342907,0.06393250619137078,1447.2207163958578,Increasing
6,Magazine Index & Page Numbers,0.07540028200621578,0.010344089987793237,0.06370054143621154,0.0533564514484183,515.8158089438773,Increasing
3,"Pioneer Emigration & Journey
Stories",0.0424246247263708,0.004552647142465366,0.05232613026020263,0.04777348311773726,1049.356157478675,Increasing
14,Recipes & Cooking Instructions,0.06532534996123934,0.08727018590952632,0.04007040815667606,-0.04719977775285025,-54.084653608716536,Decreasing
2,"Scientific Biography &
Discovery",0.025757598605092028,0.06672234021123745,0.021123689494958173,-0.045598650716279276,-68.34090436863829,Decreasing
10,"Household Management &
Budgeting",0.03706739758759145,0.06883772983587673,0.024024628461689852,-0.04481310137418688,-65.0996212121325,Decreasing
11,"Relief Society Leadership &
Organization",0.04844734319346117,0.07825501305868293,0.047483551137380155,-0.030771461921302777,-39.322032823925866,Decreasing
19,Topic 19 Fictional Character,0.08869941854618153,0.07185283354922377,0.05324940493124845,-0.018603428617975322,-25.891015982314446,Decreasing
9,"Gospel Doctrine & Spiritual
Kingdom",0.05772329399176037,0.0346333049573731,0.05246758944490665,0.017834284487533547,51.4946076023761,Increasing
1,"American Literature
(Washington Irving)",0.021533596490304632,0.005035309408603394,0.0182760405057476,0.013240731097144206,262.95764614823713,Increasing
13,"Moral Education & Character
Development",0.06282593004654186,0.07974964618921766,0.08858227967494614,0.008832633485728478,11.075451626169935,Increasing
12,Nutrition & Dietary Science,0.021837029714522123,0.005872508789326833,0.011221328699398498,0.005348819910071665,91.08236533920626,Increasing
17,World War I Commentary & News,0.047913670267809974,0.008724233137481989,0.009669418645789091,9.451855083071024e-4,10.834023958464552,Increasing
20,"Biblical Symbolism & Ancient
Rituals",0.00910827662953745,3.0786808154933346e-4,4.808861557336698e-4,1.7301807418433634e-4,56.198769717740795,Increasing
