topic,label,top_prob,top_frex
1,Topic 1: American Literature (Washington Irving),"people, one, great, book, lesson, time, first, many, name, upon, story, among, history, life, man, bible, women, made, lessons, men","surname, irving, courtship, chap, nephites, plates, abraham, tales, tribes, danish, israelites, esther, tale, hebrew, isaac, saxon, indian, genesis, surnames, welsh"
2,Topic 2: Scientific Biography & Discovery,"one, great, jerusalem, first, years, land, palestine, time, people, disease, world, europe, public, life, country, england, many, now, america, every","radium, madame, franklins, crowell, altemus, pasteur, curie, franklin, zionist, typhoid, palestine, gaul, germs, mountford, barton, benjamin, epidemic, autobiography, goths, flag"
3,Topic 3: Pioneer Emigration & Journey Stories,"mother, children, years, one, sister, family, smith, young, time, brother, president, first, born, utah, home, two, joseph, married, life, many","emigration, journey, wagon, brother, married, ancestors, sixteen, mayflower, sister, grandchildren, teams, wagons, nauvoo, moved, team, born, plains, valley, fielding, hardships"
4,Topic 4: Women's Suffrage & Political Rights,"women, utah, president, national, state, woman, new, university, council, one, first, years, suffrage, work, young, states, college, committee, convention, home","suffrage, council, university, international, convention, executive, delegates, legislature, congress, anthony, elected, delegate, chairman, graduated, marcia, catt, womens, womans, academy, voters"
5,Topic 5: Biblical Characters,"thy, thou, upon, abram, now, one, god, shall, thee, heart, eyes, life, love, great, prince, day, soul, nimrod, long, light","mardan, sarai, nimrod, abram, terah, iscah, ishtar, princess, palace, ischa, kinsman, abrams, petesi, maidens, jehu, merodach, elkanah, irit, nay, assyrian"
6,Topic 6: Magazine Index & Page Numbers,"relief, society, home, james, anderson, contents, lessons, guide, lyman, amy, editorial, smith, brown, mothers, field, mother, book, notes, temple, peace","524, 654, 548, 505, 126, 557, 658, 541, 101, 147, 311, 546, 601, 361, 559, 647, 103, 536, maude, 148"
7,Topic 7: Musical Programs & Performances,"temple, book, one, music, song, work, first, great, hymn, dead, people, genealogical, family, day, many, sing, time, beautiful, records, society","tableau, songs, song, sing, hymn, chorus, grand, verse, sargent, records, data, sheet, whistler, hymns, heir, melody, edition, rooms, breaks, hafen"
8,Topic 8: Garment & Product Advertisements,"salt, lake, city, utah, society, relief, weight, cotton, magazine, bleached, south, street, main, heavy, phone, bound, wool, light, east, medium","merino, bleached, ==========, dickinsons, vols, leather, gauze, weight, cotton, unbleached, medium, 912, guaranteed, opticians, bound, hyland, label, wool, lisle, knitting"
9,Topic 9: Gospel Doctrine & Spiritual Kingdom,"god, lord, shall, church, upon, people, one, world, spirit, gospel, thy, come, said, father, joseph, great, man, earth, time, men","kingdom, baptism, gospel, lord, holy, eternal, spirits, unto, revelation, blessings, spirit, thank, ghost, god, pray, testimony, redeemer, bless, savior, prophet"
10,Topic 10: Household Management & Budgeting,"one, home, work, must, time, women, woman, family, make, every, well, society, life, good, much, day, things, many, utah, children","housework, cheevers, architecture, budget, describe, homemaking, housekeeping, income, via, devotees, mistress, shrines, column, arch, shop, earn, expensive, cameos, blind, landscape"
11,Topic 11: Relief Society Leadership & Organization,"society, relief, work, president, women, sisters, stake, smith, church, organization, members, ward, time, young, great, officers, conference, meeting, one, first","sisters, presidency, grain, organization, stakes, counselors, presiding, meetings, missions, labors, charity, societies, speaker, organized, membership, reported, fund, meeting, stated, assist"
12,Topic 12: Nutrition & Dietary Science,"food, milk, foods, children, child, one, body, salt, city, many, people, home, lake, utah, diet, work, good, must, life, much","foods, diet, protein, milk, nutrients, fat, malnutrition, digestive, purchasing, eating, dairy, anglosaxons, calories, food, meal, tissues, constipation, cereals, nuts, growth"
13,Topic 13: Moral Education & Character Development,"life, children, one, child, home, man, must, god, parents, love, every, first, men, mother, good, great, family, young, world, little","moral, observance, parents, spiritual, obedience, mental, tendency, virtues, teach, happiness, tendencies, responsibilities, intellectual, control, physical, instinct, guidance, sin, exaltation, ethics"
14,Topic 14: Recipes & Cooking Instructions,"one, water, use, used, fruit, good, two, make, place, home, well, sugar, put, bread, add, made, salt, vegetables, time, material","loop, juice, tbsp, boiling, oven, hook, jars, pepper, lemon, bake, thread, chopped, sauce, boil, stitches, steam, stitch, inches, syrup, varieties"
15,Topic 15: Serialized Fiction & Stories,"mother, one, little, time, now, home, just, said, see, came, get, well, day, know, like, come, old, never, good, dont","jerry, walter, jimmy, bob, ive, got, rhea, didnt, couldnt, yes, jim, cant, isnt, wouldnt, isobel, thats, tom, exclaimed, edith, wont"
16,Topic 16: Nursing Training & Hospital Work,"work, relief, society, one, health, school, great, children, people, women, class, time, many, made, life, good, church, home, service, social","nurses, nurse, hospital, nursing, training, maternity, health, communities, aids, recreation, tobacco, schools, community, class, hygiene, superintendent, welfare, medical, graduate, education"
17,Topic 17: World War I Commentary & News,"states, war, united, utah, great, government, american, new, germany, german, british, people, women, men, france, nations, made, now, britain, one","entente, allies, troops, germany, german, russia, austria, british, damage, japan, turkey, submarine, germans, britain, railway, strike, million, prospect, government, italy"
18,Topic 18: Stake & Ward Relief Society Reports,"stake, relief, society, work, ward, president, members, held, mission, officers, one, given, made, wards, meetings, women, conference, meeting, teachers, year","stake, wards, attendance, visits, branch, ward, boise, sevier, oneida, conferences, total, bazaar, donated, societies, sanpete, mission, quilts, reports, reorganized, outlined"
19,Topic 12: Fictional Character,"salt, lake, city, main, sarah, utah, society, smith, elizabeth, thomas, relief, amy, counselor, lyman, secretary, brown, hyde, first, edna, south","mclelland, empey, edna, lizzie, farnsworth, niebaur, coray, crismon, jenne, eddington, wilcox, beatie, director, romania, phoebe, organist, thomas, carrie, cameron, mccune"
20,Topic 20: Biblical Symbolism & Ancient Rituals,"one, shall, day, time, thou, upon, man, people, god, church, lord, great, work, music, first, thy, many, men, book, women","passover, paschal, singer, feast, ephraim, symbolic, sacrificial, wine, supper, soprano, choir, opera, underwood, singers, lamb, judah, symbols, rites, pickles, kate"
