topic_num,topic_label,first_year,last_year,first_prevalence_pct,last_prevalence_pct,abs_change_pp,pct_change,direction,mean_prevalence_pct,max_prevalence_pct,peak_year,min_prevalence_pct,trough_year
15,"Relief Society Initiatives and
Programs",1935,1950,0.51,10.31,9.79,1915.6,Growing,2.25,10.31,1950,0.23,1942
13,Advertisements,1935,1950,1.51,4.16,2.65,175.5,Growing,2.79,6.53,1948,1.04,1939
10,"Pioneer Emigration & Journey
Stories",1935,1950,4.79,8.89,4.1,85.5,Growing,6.72,10.2,1944,4.28,1936
12,Fictional Stories,1935,1950,5.54,6.64,1.1,19.8,Growing,4.96,6.8,1941,3.42,1936
1,Gardening and Flower Displays,1935,1950,12.65,15.05,2.4,19,Growing,11.85,15.88,1948,6.62,1942
3,"National & International
Affairs",1935,1950,2.39,2.66,0.26,11,Growing,3.37,8.47,1944,1.51,1947
4,"Relief Society Conference
Reports",1935,1950,5.78,6.16,0.38,6.6,Stable,9.36,15.68,1941,5.78,1935
8,"Religious Lessons & Scripture
Study",1935,1950,6.53,6.82,0.29,4.4,Stable,6.96,9.25,1940,5.33,1939
7,Poetry,1935,1950,6.11,5.9,-0.21,-3.4,Stable,6.69,11.44,1949,4.75,1944
14,Literature and Poetry,1935,1950,3.23,2.79,-0.44,-13.6,Declining,4.51,9.43,1947,2.79,1950
2,"Church Organizational
Announcements",1935,1950,6.93,4.64,-2.29,-33,Declining,6.55,9.79,1944,2.62,1949
11,"Relief Society Magazine
Subscription and
Correspondence Announcements",1935,1950,10.25,6.57,-3.67,-35.8,Declining,7.26,12.72,1936,4.09,1944
9,"Women's Religious
Responsibility",1935,1950,7.83,4.88,-2.95,-37.7,Declining,6.6,8.69,1947,3.89,1949
6,Recipes,1935,1950,15.33,9.34,-5.98,-39,Declining,11.62,15.33,1935,7.12,1949
5,Motherhood and Marriage Advice,1935,1950,10.62,5.19,-5.43,-51.1,Declining,8.52,14.45,1939,3.07,1948
