Publication,Identity,Type,Byline,Probable (cons),Probable (bal),Resembles / notes,Certainty,Mean sentiment,Years
Relief Society Magazine,M. Thomson,Full name,9,0,0,NA,NA,0.027,1964–1967
Relief Society Magazine,Maude O. Cook,Full name,9,0,0,NA,NA,0.078,1935–1966
Relief Society Magazine,N. Fairbairn,Full name,9,0,0,NA,NA,0.063,1964–1970
Relief Society Magazine,R. Rich,Full name,9,0,0,NA,NA,0.098,1936–1963
Relief Society Magazine,Rose Thomas Graham,Full name,9,0,0,NA,NA,0.052,1942–1966
Relief Society Magazine,Rowena Jensen Bills,Full name,9,0,0,NA,NA,0.088,1938–1969
Relief Society Magazine,Ruth May Fox,Full name,9,0,0,NA,NA,0.084,1922–1939
Relief Society Magazine,Vesta Nickerson Fairbairn,Full name,9,0,0,NA,NA,0.128,1964–1966
Relief Society Magazine,Vesta Pierce Crawford,Full name,9,0,0,NA,NA,0.053,1929–1945
Relief Society Magazine,Clarissa S. Williams,Full name,8,5,15,NA,NA,0.08,1918–1929
Relief Society Magazine,John Henry Evans,Full name,8,8,13,NA,NA,0.036,1925–1939
Relief Society Magazine,Sara Mills,Full name,8,5,9,NA,NA,0.035,1947–1951
Relief Society Magazine,Myrtle M. Dean,Full name,8,3,6,NA,NA,0.073,1925–1960
Relief Society Magazine,Jean R. Jennings,Full name,8,3,3,NA,NA,0.034,1958–1959
Relief Society Magazine,E. Franks,Full name,8,2,3,NA,NA,0.052,1964–1970
Relief Society Magazine,Marba C. Josephson,Full name,8,1,2,NA,NA,0.098,1933–1935
Relief Society Magazine,G. Milton Babcock,Full name,8,0,1,NA,NA,0.023,1921–1921
Relief Society Magazine,Alfred Osmond,Full name,8,0,0,NA,NA,0.078,1923–1938
Relief Society Magazine,Beatrice R. Parsons,Full name,8,0,0,NA,NA,0.027,1952–1959
Relief Society Magazine,Eyring Miner,Full name,8,0,0,NA,NA,0.082,1964–1970
Relief Society Magazine,G. Rothe,Full name,8,0,0,NA,NA,0.067,1963–1968
Relief Society Magazine,Gilean Douglas,Full name,8,0,0,NA,NA,0.037,1963–1967
Relief Society Magazine,Gladys Hesser Burnham,Full name,8,0,0,NA,NA,0.058,1957–1969
Relief Society Magazine,Helen M. Livingston,Full name,8,0,0,NA,NA,0.093,1933–1970
Relief Society Magazine,Ivy Houtz Woolley,Full name,8,0,0,NA,NA,0.067,1924–1966
Relief Society Magazine,Leone E. Mccune,Full name,8,0,0,NA,NA,0.049,1944–1960
Relief Society Magazine,Lorene Pearson,Full name,8,0,0,NA,NA,0.048,1933–1949
Relief Society Magazine,Marian Schroder Crothers,Full name,8,0,0,NA,NA,0.078,1951–1953
Relief Society Magazine,Matia Mcclelland Burk,Full name,8,0,0,NA,NA,0.057,1947–1960
Relief Society Magazine,Miranda Snow Walton,Full name,8,0,0,NA,NA,0.047,1937–1950
Relief Society Magazine,Annie Atkin Tanner,Full name,7,0,0,NA,NA,0.048,1961–1966
Relief Society Magazine,Antoine R. Ivins,Full name,7,0,0,NA,NA,0.075,1938–1968
Relief Society Magazine,Blanche B. Stoddard,Full name,7,0,0,NA,NA,0.056,1945–1953
Relief Society Magazine,C. Esplin,Full name,7,0,0,NA,NA,0.078,1968–1970
Relief Society Magazine,Catherine E. Berry,Full name,7,0,0,NA,NA,0.061,1953–1957
Relief Society Magazine,Christine Eaton,Full name,7,0,0,NA,NA,0.016,1949–1951
Relief Society Magazine,Claire Noall,Full name,7,0,0,NA,NA,0.057,1963–1968
Relief Society Magazine,Clarence Edwin Flynn,Full name,7,0,0,NA,NA,0.038,1935–1949
Relief Society Magazine,Edith S. Elliott,Full name,7,0,0,NA,NA,0.064,1943–1969
Relief Society Magazine,Elsie Sim Hansen,Full name,7,0,0,NA,NA,0.072,1952–1967
Relief Society Magazine,J. Cannon,Full name,7,0,0,NA,NA,0.044,1940–1968
Relief Society Magazine,J. H. Paul,Full name,7,0,0,NA,NA,0.053,1929–1932
Relief Society Magazine,J. Taylor,Full name,7,0,0,NA,NA,0.054,1965–1969
Relief Society Magazine,Larson Brown,Full name,7,0,0,NA,NA,0.072,1968–1970
Relief Society Magazine,Lee Lloyd,Full name,7,0,0,NA,NA,0.06,1963–1970
Relief Society Magazine,Leora Larsen,Full name,7,0,0,NA,NA,0.064,1962–1969
Relief Society Magazine,Levi Edgar Young,Full name,7,0,0,NA,NA,0.085,1922–1957
Relief Society Magazine,Linda Clarke,Full name,7,0,0,NA,NA,0.055,1962–1965
Relief Society Magazine,Lois V. Hales,Full name,7,0,0,NA,NA,0.058,1928–1929
Relief Society Magazine,Lowell L. Bennion,Full name,7,0,0,NA,NA,0.065,1945–1946
Relief Society Magazine,Mary Gustafson,Full name,7,0,0,NA,NA,0.047,1951–1954
Relief Society Magazine,May Booth Talmage,Full name,7,0,0,NA,NA,0.109,1922–1941
Relief Society Magazine,Mcmeen Miller,Full name,7,0,0,NA,NA,0.043,1966–1970
Relief Society Magazine,Olive Woolley Burt,Full name,7,0,0,NA,NA,0.044,1945–1950
Relief Society Magazine,Ora Lee Parthesius,Full name,7,0,0,NA,NA,0.062,1944–1953
Relief Society Magazine,Ora Pate Stewart,Full name,7,0,0,NA,NA,0.048,1947–1965
Relief Society Magazine,Orson F. Whitney,Full name,7,0,0,NA,NA,0.049,1914–1929
Relief Society Magazine,P. Young,Full name,7,0,0,NA,NA,0.059,1964–1967
Relief Society Magazine,Parley Nelson,Full name,7,0,0,NA,NA,-0.015,1917–1928
Relief Society Magazine,Priscilla L. Evans,Full name,7,0,0,NA,NA,0.054,1930–1949
Relief Society Magazine,Probst Young,Full name,7,0,0,NA,NA,0.075,1963–1970
Relief Society Magazine,Riggs Mckay,Full name,7,0,0,NA,NA,0.148,1963–1970
Relief Society Magazine,Rose A. Openshaw,Full name,7,0,0,NA,NA,0.063,1952–1967
Relief Society Magazine,Rose H. Widtsoe,Full name,7,0,0,NA,NA,0.035,1915–1944
Relief Society Magazine,Van Wagenen,Full name,7,0,0,NA,NA,0.076,1947–1966
Relief Society Magazine,Y. Bradshaw,Full name,7,0,0,NA,NA,0.063,1967–1970
Relief Society Magazine,Abbie R. Madsen,Full name,6,0,0,NA,NA,0.125,1921–1950
Relief Society Magazine,Ada Hurst Brown,Full name,6,0,0,NA,NA,0.042,1932–1936
Relief Society Magazine,Adams Leitner,Full name,6,0,0,NA,NA,0.144,1956–1968
Relief Society Magazine,Amy M. Rice,Full name,6,0,0,NA,NA,0.084,1918–1940
Relief Society Magazine,Bonnie A. Kesler,Full name,6,0,0,NA,NA,0.067,1952–1953
